"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode"
"1107",38.637,"stationary_light",2,"1","amber","continuous",1,"left","right","smalleye","12",42.69,"under","off"
"2102",46.839,"stationary_light_stop",6,"1","amber","continuous",1,"left","right","smalleye","12",42.69,"under","off"
"1217",15.402,"stationary_light",2,"6","blue","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"1317",63.47,"stationary_light_stop",6,"6","blue","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"1717",167.234,"stationary_control",4,"6","blue","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"2017",15.369,"stationary_light",2,"4","green","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"2217",15.367,"stationary_control",4,"3","red","continuous",1,"left","right","smalleye","12",42.69,"under","off"
"2616",50.501,"stationary_control",4,"2","royalblue","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"2716",55.637,"stationary_control_stop",8,"2","royalblue","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"2912",159.802,"stationary_light",2,"2","royalblue","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"307",165.499,"stationary_light_stop",6,"2","royalblue","continuous",2,"right","left","smalleye","12",42.69,"under","off"
"397",15.238,"stationary_control",4,"5","white","continuous",2,"left","right","smalleye","12",42.69,"under","off"
"4111",15.301,"stationary_control",4,"6","amber","flashing",1,"right","left","smalleye","12",42.69,"under","off"
"436",15.601,"stationary_light",2,"2","blue","flashing",1,"right","left","smalleye","12",42.69,"under","off"
"456",15,"stationary_control",4,"1","green","flashing",1,"left","right","smalleye","12",42.69,"under","off"
"476",38.566,"stationary_control_stop",8,"1","green","flashing",1,"left","right","smalleye","12",42.69,"under","off"
"496",91.8,"stationary_control",4,"1","green","flashing",1,"left","right","smalleye","12",42.69,"under","off"
"5110",15.399,"stationary_control",4,"3","red","flashing",1,"left","right","smalleye","12",42.69,"under","off"
"533",15.466,"stationary_control",4,"5","royalblue","flashing",1,"left","right","smalleye","12",42.69,"under","off"
"543",49.767,"stationary_control_stop",8,"5","royalblue","flashing",1,"left","right","smalleye","12",42.69,"under","off"
"573",119.3,"stationary_light",2,"5","royalblue","flashing",1,"left","right","smalleye","12",42.69,"under","off"
"593",15.537,"stationary_light",2,"4","white","flashing",1,"right","left","smalleye","12",42.69,"under","off"
"1108",15.97,"stationary_light",2,"5","amber","continuous",1,"right","left","smalleye","13",41.709,"under","off"
"330",15.167,"stationary_control",4,"4","blue","continuous",2,"left","right","smalleye","13",41.709,"under","off"
"618",48.935,"stationary_control",4,"3","green","continuous",1,"right","left","smalleye","13",41.709,"under","off"
"719",146.766,"stationary_control_stop",8,"3","green","continuous",1,"right","left","smalleye","13",41.709,"under","off"
"817",237.638,"stationary_control",4,"3","green","continuous",1,"right","left","smalleye","13",41.709,"under","off"
"918",264.734,"stationary_control_stop",8,"3","green","continuous",1,"right","left","smalleye","13",41.709,"under","off"
"1018",287.902,"stationary_control",4,"3","green","continuous",1,"right","left","smalleye","13",41.709,"under","off"
"1718",152.219,"stationary_light",2,"1","red","continuous",1,"right","left","smalleye","13",41.709,"under","off"
"2418",15.335,"stationary_control",4,"6","royalblue","continuous",1,"left","right","smalleye","13",41.709,"under","off"
"2617",38.667,"stationary_control",4,"2","white","continuous",1,"left","right","smalleye","13",41.709,"under","off"
"2717",47.835,"stationary_control_stop",8,"2","white","continuous",1,"left","right","smalleye","13",41.709,"under","off"
"308",178.854,"stationary_control",4,"2","white","continuous",1,"left","right","smalleye","13",41.709,"under","off"
"3112",254.4,"stationary_control_stop",8,"2","white","continuous",1,"left","right","smalleye","13",41.709,"under","off"
"4112",15,"stationary_control",2,"6","amber","flashing",2,"left","right","smalleye","13",41.709,"under","off"
"437",15.333,"stationary_light",2,"6","blue","flashing",2,"right","left","smalleye","13",41.709,"under","off"
"457",29.688,"stationary_control",4,"2","green","flashing",2,"left","right","smalleye","13",41.709,"under","off"
"5111",166.617,"stationary_light",2,"1","red","flashing",2,"right","left","smalleye","13",41.709,"under","off"
"527",191.603,"stationary_light_stop",6,"1","red","flashing",2,"right","left","smalleye","13",41.709,"under","off"
"652",15.366,"stationary_control",4,"4","royalblue","flashing",2,"left","right","smalleye","13",41.709,"under","off"
"672",15.499,"stationary_light",2,"3","white","flashing",2,"right","left","smalleye","13",41.709,"under","off"
"2319",113.51,"stationary_light",2,"4","red","continuous",1,"right","left","blonde","14",19.584,"under","off"
"2419",189.807,"stationary_light_stop",6,"4","red","continuous",1,"right","left","blonde","14",19.584,"under","off"
"468",15,"stationary_control",4,"5","amber","flashing",2,"left","right","blonde","14",19.584,"under","off"
"488",15,"stationary_light",2,"4","blue","flashing",2,"right","left","blonde","14",19.584,"under","off"
"575",15,"stationary_light",2,"6","red","flashing",2,"right","left","blonde","14",19.584,"under","off"
"595",15.314,"stationary_light",2,"3","royalblue","flashing",2,"left","right","blonde","14",19.584,"under","off"
"604",138.51,"stationary_light_stop",6,"3","royalblue","flashing",2,"left","right","blonde","14",19.584,"under","off"
"6110",175.755,"stationary_light",2,"3","royalblue","flashing",2,"left","right","blonde","14",19.584,"under","off"
"623",188.855,"stationary_light_stop",6,"3","royalblue","flashing",2,"left","right","blonde","14",19.584,"under","off"
"633",215.289,"stationary_control",4,"3","royalblue","flashing",2,"left","right","blonde","14",19.584,"under","off"
"683",257.595,"stationary_control",4,"2","white","flashing",2,"right","left","blonde","14",19.584,"under","off"
"692",286.554,"stationary_control_stop",8,"2","white","flashing",2,"right","left","blonde","14",19.584,"under","off"
"1120",15.099,"stationary_control",4,"4","amber","continuous",2,"left","right","blonde","15",18.886,"under","off"
"2105",55.334,"stationary_control_stop",8,"4","amber","continuous",2,"left","right","blonde","15",18.886,"under","off"
"340",237.031,"stationary_control",4,"4","amber","continuous",2,"left","right","blonde","15",18.886,"under","off"
"439",245.303,"stationary_control_stop",8,"4","amber","continuous",2,"left","right","blonde","15",18.886,"under","off"
"1720",15.536,"stationary_light",2,"6","green","continuous",2,"left","right","blonde","15",18.886,"under","off"
"1920",29.888,"stationary_control",4,"5","red","continuous",2,"right","left","blonde","15",18.886,"under","off"
"2120",15.727,"stationary_light",2,"3","royalblue","continuous",2,"right","left","blonde","15",18.886,"under","off"
"2220",31.515,"stationary_light_stop",6,"3","royalblue","continuous",2,"right","left","blonde","15",18.886,"under","off"
"2420",169.463,"stationary_light",2,"3","royalblue","continuous",2,"right","left","blonde","15",18.886,"under","off"
"2519",181.252,"stationary_light_stop",6,"3","royalblue","continuous",2,"right","left","blonde","15",18.886,"under","off"
"2619",276.199,"stationary_light",2,"3","royalblue","continuous",2,"right","left","blonde","15",18.886,"under","off"
"4114",15,"stationary_light",2,"5","amber","flashing",1,"right","left","blonde","15",18.886,"under","off"
"449",67.759,"stationary_control",4,"2","blue","flashing",1,"left","right","blonde","15",18.886,"under","off"
"479",15,"stationary_control",4,"6","green","flashing",1,"left","right","blonde","15",18.886,"under","off"
"499",15,"stationary_light",2,"3","red","flashing",1,"right","left","blonde","15",18.886,"under","off"
"6111",15,"stationary_control",4,"4","white","flashing",1,"left","right","blonde","15",18.886,"under","off"
"1122",22.798,"stationary_control",4,"3","amber","continuous",1,"left","right","blonde","16",16.53,"under","off"
"350",200.246,"stationary_control",4,"1","blue","continuous",1,"left","right","blonde","16",16.53,"under","off"
"440",271.334,"stationary_control_stop",8,"1","blue","continuous",1,"left","right","blonde","16",16.53,"under","off"
"1421",15,"stationary_control",4,"5","green","continuous",1,"left","right","blonde","16",16.53,"under","off"
"1621",15,"stationary_light",2,"4","red","continuous",1,"right","left","blonde","16",16.53,"under","off"
"1821",15,"stationary_light",2,"6","royalblue","continuous",1,"right","left","blonde","16",16.53,"under","off"
"2021",15.785,"stationary_light",2,"2","white","continuous",2,"right","left","blonde","16",16.53,"under","off"
"2121",119.941,"stationary_light_stop",6,"2","white","continuous",2,"right","left","blonde","16",16.53,"under","off"
"2221",213.906,"stationary_light",2,"2","white","continuous",2,"right","left","blonde","16",16.53,"under","off"
"2321",230.021,"stationary_light_stop",6,"2","white","continuous",2,"right","left","blonde","16",16.53,"under","off"
"2720",15,"stationary_control",4,"3","amber","flashing",2,"left","right","blonde","16",16.53,"under","off"
"2916",15,"stationary_control",4,"5","blue","flashing",2,"left","right","blonde","16",16.53,"under","off"
"3115",15,"stationary_light",2,"4","green","flashing",2,"right","left","blonde","16",16.53,"under","off"
"3312",15.387,"stationary_light",2,"2","red","flashing",2,"right","left","blonde","16",16.53,"under","off"
"3411",113.727,"stationary_light_stop",6,"2","red","flashing",2,"right","left","blonde","16",16.53,"under","off"
"3911",15,"stationary_light",2,"6","royalblue","flashing",2,"left","right","blonde","16",16.53,"under","off"
"1124",15,"stationary_light",2,"1","amber","continuous",2,"right","left","spotted","17",18.007,"under","off"
"360",15,"stationary_light",2,"5","blue","continuous",2,"right","left","spotted","17",18.007,"under","off"
"538",15,"stationary_control",4,"6","green","continuous",2,"left","right","spotted","17",18.007,"under","off"
"725",15,"stationary_light",2,"3","red","continuous",2,"right","left","spotted","17",18.007,"under","off"
"922",15,"stationary_control",4,"2","royalblue","continuous",2,"left","right","spotted","17",18.007,"under","off"
"1125",15,"stationary_control",4,"4","white","continuous",2,"left","right","spotted","17",18.007,"under","off"
"1322",15,"stationary_control",4,"1","amber","flashing",1,"right","left","spotted","17",18.007,"under","off"
"1522",15,"stationary_light",2,"6","blue","flashing",1,"left","right","spotted","17",18.007,"under","off"
"1722",15,"stationary_light",2,"2","green","flashing",1,"left","right","spotted","17",18.007,"under","off"
"1922",15,"stationary_light",2,"4","red","flashing",1,"left","right","spotted","17",18.007,"under","off"
"2122",15,"stationary_control",4,"5","royalblue","flashing",1,"right","left","spotted","17",18.007,"under","off"
"2322",15,"stationary_control",4,"1","white","flashing",1,"right","left","spotted","17",18.007,"under","off"
"1126",15,"stationary_light",2,"4","amber","continuous",1,"right","left","spotted","18",13.458,"under","off"
"370",15,"stationary_light",2,"6","blue","continuous",1,"right","left","spotted","18",13.458,"under","off"
"539",15,"stationary_light",2,"2","green","continuous",1,"right","left","spotted","18",13.458,"under","off"
